PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,Age,NewEthpop_ETH
538,E02000001,1,33.0,32.42312981489705,WBI
539,E02000001,1,33.0,32.85669974432192,WBI
540,E02000001,1,33.0,32.307294431758194,WBI
541,E02000001,1,33.0,32.36055725802525,WBI
542,E02000001,1,33.0,32.75470197041746,WBI
543,E02000001,1,33.0,32.76047311346169,WBI
544,E02000001,1,33.0,32.201358862800305,WBI
545,E02000001,1,33.0,32.02347347527332,WBI
546,E02000001,1,33.0,32.10669835340989,WBI
547,E02000001,1,33.0,32.114475474547056,WBI
548,E02000001,1,33.0,32.2118290601857,WBI
549,E02000001,1,33.0,32.80331729453958,WBI
550,E02000001,1,33.0,32.6963621070562,WHO
