DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH,Rate
1,72,OAS,0.031810072
1,73,OAS,0.034012763
1,74,OAS,0.037528609
1,75,OAS,0.040767982
1,76,OAS,0.042761302
1,77,OAS,0.047192667
1,78,OAS,0.05283434
1,79,OAS,0.058253505
1,80,OAS,0.057809688
1,81,OAS,0.064292088
1,82,OAS,0.071501383
1,83,OAS,0.07951908099999999
1,84,OAS,0.08843583199999999
1,85,OAS,0.09835244800000001
1,86,OAS,0.147594597
1,1,BLA,0.0032156059999999998
1,2,BLA,0.000281542
1,3,BLA,0.000192312
1,4,BLA,0.00013927200000000002
1,5,BLA,0.00021945
1,6,BLA,0.000286034
1,7,BLA,0.000280921
1,8,BLA,0.00028024
1,9,BLA,0.000205745
1,10,BLA,0.000137148
1,11,BLA,0.00011976700000000001
1,12,BLA,0.000125819
1,13,BLA,0.000150813
1,14,BLA,0.000173057
1,15,BLA,0.000188811
1,16,BLA,0.000219067
1,17,BLA,0.000320374
1,18,BLA,0.00046381300000000004
1,19,BLA,0.0005094219999999999
1,20,BLA,0.00046697199999999996
1,21,BLA,0.000434384
1,22,BLA,0.000421145
1,23,BLA,0.000385254
1,24,BLA,0.00041967800000000004
1,25,BLA,0.00041280099999999997
1,26,BLA,0.000323643
1,27,BLA,0.000345365
1,28,BLA,0.00037018699999999996
1,29,BLA,0.000412163
1,30,BLA,0.000477941
1,31,BLA,0.00051911
1,32,BLA,0.0005616369999999999
1,33,BLA,0.000646257
1,34,BLA,0.000743884
1,35,BLA,0.000841623
1,36,BLA,0.0009271689999999999
1,37,BLA,0.000976619
1,38,BLA,0.001048269
1,39,BLA,0.00108396
1,40,BLA,0.001282897
1,41,BLA,0.001441802
1,42,BLA,0.001499892
1,43,BLA,0.0016757710000000002
1,44,BLA,0.0017368610000000001
1,45,BLA,0.002037305
1,46,BLA,0.002428692
1,47,BLA,0.002575245
1,48,BLA,0.002890919
1,49,BLA,0.003384566
1,50,BLA,0.003371582
1,51,BLA,0.003608663
1,52,BLA,0.004426354
1,53,BLA,0.005046385
1,54,BLA,0.006070855
1,55,BLA,0.007172255
1,56,BLA,0.008169275
1,57,BLA,0.009323897
1,58,BLA,0.010106253
1,59,BLA,0.010390247
1,60,BLA,0.011363883
1,61,BLA,0.013194365
1,62,BLA,0.014497834
1,63,BLA,0.014993059
1,64,BLA,0.014872538000000001
1,65,BLA,0.017000048
1,66,BLA,0.020442186
1,67,BLA,0.02217106
1,68,BLA,0.024340109
1,69,BLA,0.029184592999999998
1,70,BLA,0.03262095
1,71,BLA,0.033024862
1,72,BLA,0.034454527
1,73,BLA,0.036634161
1,74,BLA,0.040412155
1,75,BLA,0.043385371
1,76,BLA,0.04542791
1,77,BLA,0.05030765
1,78,BLA,0.055087719
1,79,BLA,0.060384413
1,80,BLA,0.060974028
1,81,BLA,0.067542738
1,82,BLA,0.074819093
1,83,BLA,0.082879327
1,84,BLA,0.09180788699999999
1,85,BLA,0.10169831800000001
1,86,BLA,0.156466186
1,1,BLC,0.003383493
1,2,BLC,0.000275034
1,3,BLC,0.000183306
1,4,BLC,0.000134755
1,5,BLC,0.000201012
1,6,BLC,0.000263933
1,7,BLC,0.000268135
1,8,BLC,0.000266072
1,9,BLC,0.00019531599999999998
1,10,BLC,0.00013002
1,11,BLC,0.00011991700000000001
1,12,BLC,0.000128195
1,13,BLC,0.000143876
1,14,BLC,0.00015954
1,15,BLC,0.000182218
1,16,BLC,0.000212582
1,17,BLC,0.000315782
1,18,BLC,0.000473932
1,19,BLC,0.00051731
1,20,BLC,0.000459328
1,21,BLC,0.00044018599999999996
1,22,BLC,0.000444386
1,23,BLC,0.000391759
1,24,BLC,0.000415629
1,25,BLC,0.000401395
1,26,BLC,0.000304748
1,27,BLC,0.000323271
1,28,BLC,0.000354301
1,29,BLC,0.000378336
1,30,BLC,0.000423394
1,31,BLC,0.00046954
1,32,BLC,0.000506085
1,33,BLC,0.000590489
1,34,BLC,0.000679774
1,35,BLC,0.000792927
1,36,BLC,0.0008946410000000001
1,37,BLC,0.000918144
1,38,BLC,0.001008956
1,39,BLC,0.001050593
1,40,BLC,0.001246238
1,41,BLC,0.0014191479999999999
1,42,BLC,0.00148627
1,43,BLC,0.0016404529999999998
1,44,BLC,0.001668859
1,45,BLC,0.001984035
1,46,BLC,0.00239752
1,47,BLC,0.0026038429999999998
1,48,BLC,0.002965234
1,49,BLC,0.0033783359999999996
1,50,BLC,0.00333408
1,51,BLC,0.003613837
1,52,BLC,0.004360562
1,53,BLC,0.004961882
1,54,BLC,0.00599749
1,55,BLC,0.0071546069999999995
1,56,BLC,0.008048951
1,57,BLC,0.00910243
1,58,BLC,0.010024398
1,59,BLC,0.01032427
1,60,BLC,0.01123476
1,61,BLC,0.013005518
1,62,BLC,0.014382164
1,63,BLC,0.015048273999999999
1,64,BLC,0.014945028
1,65,BLC,0.016839677
1,66,BLC,0.020100309
1,67,BLC,0.021961125
1,68,BLC,0.024322454
1,69,BLC,0.029178639
1,70,BLC,0.032356114
1,71,BLC,0.032809718
1,72,BLC,0.034535185
1,73,BLC,0.036803618999999996
1,74,BLC,0.040593197000000004
1,75,BLC,0.04377675599999999
